topic,rank,doc
46,3,#Russia invades #Ukraine #Eritrea supports #Russia #Eritrea invades #Tigray #Russia supports #Eritrea Both #Russia &amp; #Eritrea violate the #UN charter. #IStandWithUkraine #IStandWithTigray
47,1,"Ukraine, UN, Turkey agree to extend Black Sea Grain Initiative for 120 days #Ukraine"
47,2,"Russia offers 60-day extension to Black Sea grain deal, leading to questions in Kyiv Ukraine is unclear whether the Black Sea Grain Initiative can only be extended 60 days after negotiations in Geneva #BlackSeaGrainInitiative #Ukraine #Russia #Turkey #UN"
47,3,"Russia to extend Black Sea grain deal for only 60 days The Black Sea Grain Initiative, which unblocked Ukraine's grain exports via the Black Sea, was concluded by Ukraine, Russia, Turkey, and the UN... #BlackSeaGrainInitiative #Ukraine #Russia #Turkey #UN"
48,1,This #Russia is a #terrorist state 👇
48,2,#Russia is a terrorist state.
48,3,#Russia is nothing else as a terrorist state..nothing else....
49,1,UN international court of justice orders Russia to halt invasion of Ukraine #StopRussia #StopPutinNOW
49,2,UN International Court of Justice Orders Russia to Halt Invasion of Ukraine #SlavaUkraini 🇺🇦🇺🇦🇺🇦🌻
49,3,#UN international court of #justice orders #Russia to halt invasion of #Ukraine
50,1,Armenia-Azerbaijan: Dozens dead in overnight clashes via #Armenia #Azerbaijan #Russia #Turkey #Ukraine #war #Diplomacy #Politics #sanctions #refugees #humanity #NATO #EU #UK #US #UN
50,2,#Israel should not only recognize #Armenian genocide but also assist #Armenia against the corrupt Azerbaijan #dictatorship. #Artsakh #karabakh #caucasus #NATO
50,3,"#Russia's lap-dog #Armenia MUST withdraw its sneaky army and illegal detachments from UN recognized territories of Azerbaijan. No matter how often and bigger Armenian lies are, Armenia must stop aggression against Azerbaijan."
51,1,"Fully agree, HH the #DalaiLama appeals Tibetans to avoid Chinese lingo in their practices, so use #Tibet's place name. #Sichuan province is within #OccupiedTibet. #FreeTibet #FreeHK #FreeEastTurkistan #FreeUkraine #XiJinping #CCP #China #US #EU #UK #India #Russia #UN #CTA #TPiE"
51,2,"Keep spreading #China’s propaganda against Tibetan in #OccupiedTibet, #Tibet is giant prison camps nothing to glorious #FreeTibet #FreeTaiwan #FreeHK #FreeEastTurkistan #FreeUkraine #XiJinping #CCP #AUS #QUAD #Austria #UN #TaiwanIsaCountry #TibetWillBeFree"
51,3,#Japan #Tibet friendship will never end. #FreeTibet #FreeHK #FreeEastTurkistan #FreeUkraine #China #CCP #XiJinping #FreeUkraine #TwoSessions #UN #US #EU #AUS #India #Russia #Ukraine #PutinsWar #CTA
52,1,"In the last year, millions of children have endured shelling, hunger, displacement and much more in war-torn Ukraine. They now dream of warmth and safety. As continues to meet their mounting needs, children in #Ukraine need peace now. Donate now:"
52,2,"Thousands of vulnerable children in #Ukraine are now cut off from #healthcare. 💔 #UNICEF is on the ground to meet children's basic needs. But most of all, #children need #peace. Now. ☮ Children are #NotATarget. v/ 💙💛"
52,3,"'Six months into the war in #Ukraine, children need #peace now.' -"
53,1,"More than 2.5 million people have fled #Ukraine, UN says"
53,2,🚨🇺🇦UN: 3 million people have fled #Ukraine.
53,3,UN: More than 2.5 million people have fled #Ukraine
54,1,🎡 stop failing in #Tigray. All war crimes committed in Tigray show the genocidal intent of #Abiy &amp; #Eritrea Isaias against Tigrayans. We all Human ! justice For All #Justice4Tigray #TigrayGenocide
54,2,stop failing in #Tigray.All war crimes committed in Tigray show the genocidal intent of #Abiy&amp; #Eritrea Isaias against Tigrayans. We all Human ! justice For All #Justice4Tigray #TigrayGenocide
54,3,stop failing in #Tigray. All war crimes committed in Tigray show the genocidal intent of #Abiy &amp; #Eritrea Isaias against Tigrayans. We all Human ! justice For All #Justice4Tigray #TigrayGenocide …
55,1,Why UN votes shouldn’t define #Europe-Africa relations: Many #Europeans were disappointed with how African countries voted on UN resolutions to condemn #Russia’s war on #Ukraine. But they should remember that African states still need to diversify their…
55,2,Figure of the week: African countries’ votes on the UN resolution condemning Russia’s invasion of #Ukraine
55,3,How #African countries voted on #UN resolution calling on #Russia to leave #Ukraine
56,1,What’s the biggest threat to Libya? #Turkey #Libya #France #Syria #Egypt #UAE #Russia #LNA #MiddleEast #AfricanUnion #KhalifaHifter #Tripoli #UN #UNHCR #Europe #NATO #Mercenaries #Migrants #Elections
56,2,More than 40 bodies found in Libya mass grave: Authorities #Turkey #Libya #France #Syria #Egypt #UAE #Russia #LNA #MiddleEast #AfricanUnion #KhalifaHifter #Tripoli #UN #UNHCR #Europe #NATO #Mercenaries #Migrants #Elections
56,3,U.N. warns over Libya threats #Turkey #Libya #France #Syria #Egypt #UAE #Russia #LNA #MiddleEast #AfricanUnion #KhalifaHifter #Tripoli #UN #UNHCR #Europe #NATO #Mercenaries #Migrants #Elections
57,1,"6.2M+ people in #Tigray in need of urgent humanitarian assistance.#Ethiopia, on the contrary, blocking humanitarian supplies into #Tigray.No fuel, No banking, No telecommunications, No electricity. #AllowAccessToTigray"
57,2,#Tigray has been under siege with civilians dying from lack of food and medications due to systemic blockade by the Ethiopian government. World leaders must take concrete action to #EndTigraySiege #AllowAccessToTigray
57,3,.#Tigray has been under siege with civilians dying from lack of food and medications due to systemic blockade by the Ethiopian government. World leaders must take concrete action to #EndTigraySiege #AllowAccessToTigray
58,1,"Serbia will ask NATO peacekeepers to let it deploy Serbian military and police in Kosovo, in line with the provisions of a UN Security Council resolution which ended a war there in 1999, President Aleksandar Vucic said on Saturday. #Kosovo #NATO"
58,2,"Serbia will ask #NATO peacekeepers to let it deploy Serbian military and police in Kosovo, in line with the provisions of a #UN Security Council resolution which ended a war there in 1999, President Aleksandar Vucic said on Saturday. #Serbian #Serbia"
58,3,Serbia will be allowed to walk into Kosovo and take over. After all Serbia is not Russia and America doesn't care for these people. China should go into Kosovo immediately and offer Security against Serbia #kosovo #serbia #China #america #yugoslavia #UN
59,1,"◇As much of the world’s attention is focused on #Ukraine, WHY NOT #Tigray ? ”nowhere on earth where the life of millions of people is more under threat"" than #Tigray. #TigrayUnderAttack #StopBombingTigray"
59,2,"As much of the world’s attention is focused on #Ukraine, WHY NOT #Tigray ? ”nowhere on earth where the life of millions of people is more under threat"" than #Tigray #TigrayUnderAttack #StopBombingTigray @"
59,3,"As much of the world’s attention is focused on #Ukraine WHY NOT #Tigray ?”nowhere on earth where the life of millions of people is more under threat"" than #Tigray #TigrayUnderAttack #StopBombingTigray #EndTigraySiege"
